id,title,priority,status,created_date,assigned_to,category,description
34,Disaster Recovery Test,High,Resolved,2024-02-17,dr@company.com,DR,Quarterly DR test scheduled
35,Network Redundancy,Medium,Open,2024-02-18,network@company.com,Network,Implement BGP failover for internet
36,Load Balancer Configuration,High,In Progress,2024-02-19,network@company.com,Network,Configure F5 load balancer for new app
37,CDN Setup,Medium,Investigating,2024-02-20,webadmin@company.com,Web,Configure Cloudflare for website
38,DNS Record Update,Low,Open,2024-02-21,network@company.com,DNS,Add new A record for application
39,DHCP Scope Full,Medium,In Progress,2024-02-22,network@company.com,DHCP,DHCP scope running out of addresses
40,IP Address Conflict,Low,Resolved,2024-02-23,network@company.com,Network,Two devices with same IP address
41,VLAN Configuration,Medium,Open,2024-02-24,network@company.com,Network,Create new VLAN for project team
42,Router Firmware Update,High,In Progress,2024-02-25,network@company.com,Network,Update Cisco router IOS version
43,Switch Port Configuration,Low,Investigating,2024-02-26,network@company.com,Network,Configure switch port for VoIP phone
44,Wireless Survey,Medium,Open,2024-02-27,network@company.com,Wireless,Perform wireless site survey for new office
45,Network Performance Test,High,In Progress,2024-02-28,network@company.com,Network,Test network throughput between sites
46,Fiber Optic Cable Damage,Critical,Resolved,2024-02-29,network@company.com,Network,Backhoe cut fiber line to building
47,Network Monitoring,Medium,Open,2024-03-01,monitoring@company.com,Monitoring,Implement new network monitoring tool
48,Bandwidth Usage Report,Low,In Progress,2024-03-02,network@company.com,Reporting,Generate monthly bandwidth report
49,QoS Configuration,Medium,Investigating,2024-03-03,network@company.com,Network,Configure QoS for video conferencing
50,MPLS Circuit Upgrade,High,Open,2024-03-04,network@company.com,Network,Upgrade MPLS circuit from 100Mbps to 1Gbps
51,SD-WAN Implementation,High,In Progress,2024-03-05,network@company.com,Network,Implement SD-WAN solution
52,Zero Trust Network,Medium,Resolved,2024-03-06,security@company.com,Security,Implement zero trust architecture
53,Cloud Migration,High,Open,2024-03-07,cloudops@company.com,Cloud,Migrate on-prem servers to Azure
54,Container Orchestration,Medium,In Progress,2024-03-08,devops@company.com,Containers,Implement Kubernetes cluster
55,Serverless Architecture,Medium,Investigating,2024-03-09,devops@company.com,Cloud,Design serverless application
56,CI/CD Pipeline,High,Open,2024-03-10,devops@company.com,Development,Implement Jenkins CI/CD pipeline
57,Infrastructure as Code,Medium,In Progress,2024-03-11,devops@company.com,Automation,Convert infrastructure to Terraform
58,Git Repository Migration,Low,Resolved,2024-03-12,dev@company.com,Development,Migrate from SVN to Git
59,Code Review Process,Medium,Open,2024-03-13,dev@company.com,Development,Implement mandatory code reviews
60,Static Code Analysis,Low,In Progress,2024-03-14,security@company.com,Security,Implement SAST in pipeline
61,Dynamic Security Testing,Medium,Investigating,2024-03-15,security@company.com,Security,Implement DAST for web apps
62,Dependency Scanning,High,Open,2024-03-16,security@company.com,Security,Scan for vulnerable dependencies
63,Container Security,Medium,In Progress,2024-03-17,security@company.com,Security,Implement container security scanning
64,Secrets Management,High,Resolved,2024-03-18,security@company.com,Security,Implement HashiCorp Vault
65,Incident Response,Medium,Open,2024-03-19,security@company.com,Security,Update incident response plan
66,Threat Hunting,High,In Progress,2024-03-20,security@company.com,Security,Proactive threat hunting exercise
67,Vulnerability Management,Medium,Investigating,2024-03-21,security@company.com,Security,Monthly vulnerability scanning
68,Security Awareness Training,Low,Open,2024-03-22,hr@company.com,Training,Quarterly security training for staff
69,Phishing Simulation,Medium,In Progress,2024-03-23,security@company.com,Security,Send simulated phishing emails
70,Data Classification,Low,Resolved,2024
